date,start_station_id,start_station_name,n_trips,avg_trip_duration_min,median_trip_duration_min,n_member,n_casual,share_member,share_casual,prev_n_trips,delta_n_trips,delta_n_trips_pct,n_trips_7day_avg
2024-01-02,HB303,Clinton St & 7 St,25,4.1240000000000006,4.016666666666667,23,2,0.92,0.08,22,3,0.13636363636363635,23.5
2024-01-02,HB304,7 St & Monroe St,22,7.035606060606062,5.416666666666667,20,2,0.9090909090909091,0.09090909090909091,10,12,1.2,16.0
2024-01-02,HB305,9 St HBLR - Jackson St & 8 St,22,8.728030303030302,6.583333333333333,16,6,0.7272727272727273,0.2727272727272727,23,-1,-0.043478260869565216,22.5
2024-01-02,HB401,Southwest Park - Jackson St & Observer Hwy,14,20.974999999999998,4.95,11,3,0.7857142857142857,0.21428571428571427,11,3,0.2727272727272727,12.5
2024-01-02,HB402,Madison St & 1 St,30,5.684444444444444,3.8666666666666667,21,9,0.7,0.3,25,5,0.2,27.5
2024-01-02,HB404,Mama Johnson Field - 4 St & Jackson St,17,7.31470588235294,6.0,12,5,0.7058823529411765,0.29411764705882354,14,3,0.21428571428571427,15.5
2024-01-02,HB407,Adams St & 2 St,20,4.0008333333333335,2.783333333333333,18,2,0.9,0.1,20,0,0.0,20.0
2024-01-02,HB408,Marshall St & 2 St,23,5.70072463768116,5.166666666666667,20,3,0.8695652173913043,0.13043478260869565,21,2,0.09523809523809523,22.0
2024-01-02,HB409,Clinton St & Newark St,34,5.66078431372549,5.033333333333333,29,5,0.8529411764705882,0.14705882352941177,21,13,0.6190476190476191,27.5
2024-01-02,HB501,Columbus Park - Clinton St & 9 St,29,5.378160919540231,4.566666666666666,24,5,0.8275862068965517,0.1724137931034483,25,4,0.16,27.0
2024-01-02,HB502,11 St & Washington St,36,6.163888888888889,5.283333333333333,29,7,0.8055555555555556,0.19444444444444445,36,0,0.0,36.0
2024-01-02,HB503,Madison St & 10 St,23,4.8789855072463775,4.7,19,4,0.8260869565217391,0.17391304347826086,14,9,0.6428571428571429,18.5
2024-01-02,HB505,Willow Ave & 12 St,20,6.060833333333333,4.316666666666666,16,4,0.8,0.2,13,7,0.5384615384615384,16.5
2024-01-02,HB506,Grand St & 14 St,36,10.880555555555556,5.95,26,10,0.7222222222222222,0.2777777777777778,19,17,0.8947368421052632,27.5
2024-01-02,HB601,Church Sq Park - 5 St & Park Ave,9,6.881481481481482,5.95,7,2,0.7777777777777778,0.2222222222222222,17,-8,-0.47058823529411764,13.0
2024-01-02,HB602,Stevens - River Ter & 6 St,19,7.714912280701755,3.5,16,3,0.8421052631578947,0.15789473684210525,7,12,1.7142857142857142,13.0
